participant_id,deepseek_temp1.0_Bashful,deepseek_temp1.0_Bold,deepseek_temp1.0_Careless,deepseek_temp1.0_Cold,deepseek_temp1.0_Complex,deepseek_temp1.0_Cooperative,deepseek_temp1.0_Creative,deepseek_temp1.0_Deep,deepseek_temp1.0_Disorganized,deepseek_temp1.0_Efficient,deepseek_temp1.0_Energetic,deepseek_temp1.0_Envious,deepseek_temp1.0_Extraverted,deepseek_temp1.0_Fretful,deepseek_temp1.0_Harsh,deepseek_temp1.0_Imaginative,deepseek_temp1.0_Inefficient,deepseek_temp1.0_Intellectual,deepseek_temp1.0_Jealous,deepseek_temp1.0_Kind,deepseek_temp1.0_Moody,deepseek_temp1.0_Organized,deepseek_temp1.0_Philosophical,deepseek_temp1.0_Practical,deepseek_temp1.0_Quiet,deepseek_temp1.0_Relaxed,deepseek_temp1.0_Rude,deepseek_temp1.0_Shy,deepseek_temp1.0_Sloppy,deepseek_temp1.0_Sympathetic,deepseek_temp1.0_Systematic,deepseek_temp1.0_Talkative,deepseek_temp1.0_Temperamental,deepseek_temp1.0_Touchy,deepseek_temp1.0_Uncreative,deepseek_temp1.0_Unenvious,deepseek_temp1.0_Unintellectual,deepseek_temp1.0_Unsympathetic,deepseek_temp1.0_Warm,deepseek_temp1.0_Withdrawn,deepseek_temp0.0_Bashful,deepseek_temp0.0_Bold,deepseek_temp0.0_Careless,deepseek_temp0.0_Cold,deepseek_temp0.0_Complex,deepseek_temp0.0_Cooperative,deepseek_temp0.0_Creative,deepseek_temp0.0_Deep,deepseek_temp0.0_Disorganized,deepseek_temp0.0_Efficient,deepseek_temp0.0_Energetic,deepseek_temp0.0_Envious,deepseek_temp0.0_Extraverted,deepseek_temp0.0_Fretful,deepseek_temp0.0_Harsh,deepseek_temp0.0_Imaginative,deepseek_temp0.0_Inefficient,deepseek_temp0.0_Intellectual,deepseek_temp0.0_Jealous,deepseek_temp0.0_Kind,deepseek_temp0.0_Moody,deepseek_temp0.0_Organized,deepseek_temp0.0_Philosophical,deepseek_temp0.0_Practical,deepseek_temp0.0_Quiet,deepseek_temp0.0_Relaxed,deepseek_temp0.0_Rude,deepseek_temp0.0_Shy,deepseek_temp0.0_Sloppy,deepseek_temp0.0_Sympathetic,deepseek_temp0.0_Systematic,deepseek_temp0.0_Talkative,deepseek_temp0.0_Temperamental,deepseek_temp0.0_Touchy,deepseek_temp0.0_Uncreative,deepseek_temp0.0_Unenvious,deepseek_temp0.0_Unintellectual,deepseek_temp0.0_Unsympathetic,deepseek_temp0.0_Warm,deepseek_temp0.0_Withdrawn
0,6.0,8.0,7.0,2.0,3.0,9.0,4.0,3.0,5.0,7.0,9.0,2.0,9.0,6.0,2.0,4.0,3.0,8.0,2.0,9.0,6.0,6.0,8.0,7.0,2.0,7.0,4.0,6.0,3.0,9.0,4.0,9.0,2.0,3.0,6.0,9.0,2.0,1.0,9.0,3.0,3.0,7.0,6.0,2.0,3.0,8.0,4.0,3.0,5.0,7.0,9.0,2.0,9.0,6.0,2.0,4.0,3.0,6.0,2.0,9.0,6.0,6.0,6.0,7.0,2.0,6.0,4.0,3.0,3.0,9.0,4.0,9.0,2.0,3.0,6.0,8.0,3.0,2.0,9.0,2.0
1,5.0,5.0,7.0,6.0,8.0,7.0,7.0,8.0,7.0,7.0,6.0,5.0,8.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,7.0,6.0,5.0,6.0,6.0,8.0,7.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,4.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,7.0,6.0,8.0,7.0,7.0,8.0,7.0,7.0,6.0,5.0,8.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,7.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,8.0,7.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0
2,8.0,4.0,6.0,2.0,8.0,8.0,7.0,8.0,3.0,7.0,3.0,4.0,2.0,6.0,3.0,9.0,3.0,8.0,4.0,9.0,8.0,7.0,8.0,6.0,8.0,7.0,6.0,9.0,2.0,9.0,8.0,2.0,3.0,5.0,2.0,6.0,2.0,2.0,7.0,8.0,8.0,4.0,6.0,2.0,8.0,7.0,7.0,8.0,3.0,7.0,3.0,4.0,2.0,6.0,3.0,8.0,3.0,8.0,4.0,8.0,8.0,7.0,8.0,5.0,8.0,7.0,6.0,9.0,2.0,8.0,8.0,2.0,2.0,4.0,2.0,6.0,2.0,2.0,7.0,8.0
3,8.0,6.0,7.0,3.0,9.0,7.0,7.0,9.0,8.0,5.0,4.0,3.0,8.0,7.0,3.0,5.0,7.0,8.0,3.0,7.0,3.0,3.0,8.0,5.0,6.0,3.0,3.0,8.0,7.0,7.0,3.0,8.0,3.0,4.0,3.0,7.0,3.0,3.0,7.0,6.0,2.0,6.0,7.0,2.0,8.0,6.0,7.0,8.0,7.0,4.0,3.0,5.0,8.0,7.0,3.0,5.0,7.0,8.0,5.0,7.0,2.0,3.0,8.0,5.0,4.0,3.0,2.0,2.0,6.0,7.0,3.0,8.0,2.0,3.0,2.0,6.0,2.0,2.0,7.0,2.0
4,6.0,7.0,2.0,3.0,6.0,7.0,7.0,6.0,1.0,9.0,6.0,3.0,6.0,7.0,3.0,5.0,2.0,4.0,3.0,7.0,7.0,9.0,4.0,6.0,7.0,6.0,4.0,7.0,1.0,7.0,9.0,4.0,6.0,5.0,3.0,7.0,5.0,3.0,6.0,5.0,6.0,7.0,2.0,3.0,7.0,7.0,7.0,6.0,2.0,9.0,7.0,4.0,6.0,7.0,4.0,5.0,2.0,4.0,4.0,7.0,7.0,9.0,4.0,7.0,7.0,6.0,4.0,6.0,2.0,7.0,9.0,4.0,6.0,5.0,3.0,6.0,4.0,3.0,6.0,5.0
5,5.0,3.0,6.0,2.0,7.0,8.0,6.0,7.0,2.0,7.0,6.0,3.0,8.0,6.0,2.0,5.0,3.0,8.0,3.0,8.0,6.0,9.0,8.0,7.0,7.0,7.0,2.0,6.0,2.0,7.0,7.0,5.0,3.0,4.0,4.0,7.0,2.0,2.0,8.0,3.0,5.0,4.0,6.0,2.0,7.0,8.0,6.0,7.0,2.0,6.0,6.0,3.0,8.0,5.0,2.0,5.0,3.0,7.0,3.0,8.0,6.0,9.0,7.0,6.0,7.0,7.0,2.0,6.0,2.0,7.0,7.0,5.0,3.0,4.0,4.0,7.0,3.0,2.0,8.0,4.0
6,2.0,8.0,6.0,2.0,8.0,9.0,7.0,9.0,2.0,9.0,9.0,2.0,9.0,6.0,2.0,6.0,2.0,9.0,2.0,9.0,3.0,9.0,9.0,7.0,2.0,7.0,4.0,2.0,4.0,4.0,9.0,9.0,5.0,4.0,2.0,9.0,2.0,6.0,7.0,2.0,1.0,8.0,6.0,2.0,9.0,8.0,9.0,9.0,2.0,9.0,9.0,2.0,9.0,6.0,2.0,6.0,2.0,9.0,2.0,9.0,3.0,9.0,9.0,7.0,2.0,7.0,6.0,1.0,2.0,2.0,9.0,9.0,6.0,3.0,2.0,9.0,2.0,8.0,7.0,1.0
7,1.0,8.0,7.0,6.0,9.0,7.0,9.0,9.0,2.0,8.0,8.0,2.0,9.0,6.0,3.0,6.0,2.0,8.0,2.0,7.0,2.0,7.0,8.0,6.0,1.0,6.0,2.0,1.0,1.0,7.0,7.0,9.0,2.0,3.0,1.0,8.0,2.0,3.0,6.0,1.0,2.0,8.0,7.0,6.0,9.0,7.0,9.0,9.0,3.0,7.0,8.0,3.0,9.0,6.0,3.0,5.0,2.0,8.0,2.0,7.0,2.0,7.0,8.0,6.0,2.0,6.0,2.0,2.0,2.0,7.0,7.0,9.0,2.0,3.0,2.0,8.0,2.0,3.0,6.0,2.0
8,4.0,8.0,6.0,6.0,3.0,7.0,3.0,3.0,2.0,9.0,8.0,5.0,9.0,9.0,4.0,3.0,2.0,3.0,5.0,7.0,3.0,9.0,3.0,7.0,2.0,2.0,2.0,5.0,2.0,7.0,9.0,8.0,3.0,3.0,8.0,5.0,6.0,4.0,6.0,3.0,3.0,7.0,6.0,6.0,3.0,7.0,3.0,3.0,1.0,8.0,8.0,5.0,8.0,8.0,3.0,3.0,2.0,3.0,5.0,7.0,3.0,9.0,3.0,6.0,2.0,2.0,2.0,4.0,1.0,7.0,9.0,8.0,3.0,3.0,7.0,5.0,6.0,3.0,6.0,3.0
9,8.0,6.0,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,7.0,4.0,8.0,7.0,5.0,5.0,4.0,8.0,4.0,8.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,6.0,9.0,6.0,8.0,7.0,5.0,7.0,6.0,3.0,3.0,6.0,5.0,8.0,5.0,7.0,6.0,8.0,8.0,6.0,8.0,6.0,6.0,8.0,3.0,8.0,7.0,4.0,4.0,3.0,8.0,3.0,8.0,6.0,6.0,8.0,5.0,8.0,7.0,6.0,8.0,6.0,8.0,6.0,8.0,7.0,5.0,8.0,7.0,2.0,2.0,6.0,5.0
10,8.0,2.0,1.0,2.0,9.0,8.0,7.0,9.0,7.0,6.0,8.0,2.0,2.0,8.0,2.0,9.0,3.0,9.0,2.0,9.0,8.0,3.0,9.0,5.0,8.0,2.0,6.0,9.0,7.0,9.0,3.0,3.0,8.0,7.0,2.0,8.0,2.0,2.0,7.0,8.0,8.0,2.0,1.0,1.0,9.0,8.0,7.0,9.0,7.0,6.0,8.0,1.0,1.0,8.0,1.0,9.0,3.0,9.0,1.0,9.0,7.0,2.0,9.0,5.0,8.0,2.0,6.0,9.0,7.0,9.0,2.0,2.0,8.0,7.0,1.0,9.0,1.0,1.0,7.0,8.0
11,1.0,9.0,1.0,2.0,7.0,6.0,7.0,6.0,1.0,9.0,9.0,2.0,9.0,2.0,3.0,6.0,1.0,8.0,2.0,6.0,1.0,9.0,8.0,7.0,1.0,9.0,3.0,1.0,1.0,6.0,9.0,9.0,1.0,2.0,2.0,8.0,2.0,3.0,6.0,1.0,1.0,9.0,1.0,6.0,7.0,6.0,6.0,7.0,1.0,9.0,9.0,2.0,9.0,2.0,6.0,6.0,1.0,8.0,2.0,6.0,1.0,9.0,8.0,7.0,1.0,9.0,6.0,1.0,1.0,3.0,9.0,9.0,1.0,2.0,3.0,8.0,2.0,6.0,6.0,1.0
12,9.0,2.0,6.0,8.0,9.0,7.0,3.0,9.0,1.0,7.0,2.0,5.0,1.0,7.0,1.0,3.0,2.0,8.0,5.0,7.0,2.0,9.0,8.0,6.0,9.0,2.0,1.0,9.0,1.0,2.0,9.0,1.0,1.0,3.0,8.0,6.0,2.0,7.0,2.0,9.0,9.0,2.0,6.0,9.0,9.0,7.0,2.0,9.0,1.0,7.0,2.0,1.0,1.0,8.0,1.0,3.0,2.0,8.0,1.0,7.0,2.0,9.0,8.0,6.0,9.0,2.0,1.0,9.0,1.0,3.0,9.0,1.0,1.0,2.0,8.0,9.0,1.0,7.0,2.0,9.0
13,3.0,6.0,7.0,2.0,8.0,7.0,7.0,8.0,3.0,9.0,3.0,2.0,6.0,4.0,2.0,6.0,2.0,7.0,2.0,7.0,3.0,7.0,7.0,6.0,7.0,7.0,2.0,7.0,3.0,3.0,7.0,7.0,8.0,3.0,2.0,8.0,2.0,4.0,7.0,5.0,5.0,6.0,7.0,3.0,8.0,7.0,7.0,8.0,3.0,9.0,4.0,2.0,6.0,4.0,2.0,5.0,2.0,8.0,2.0,7.0,3.0,7.0,8.0,6.0,7.0,7.0,2.0,7.0,3.0,3.0,7.0,7.0,7.0,4.0,3.0,8.0,2.0,6.0,7.0,5.0
14,5.0,3.0,8.0,2.0,9.0,8.0,7.0,9.0,3.0,6.0,6.0,2.0,8.0,8.0,2.0,6.0,4.0,9.0,2.0,8.0,7.0,7.0,9.0,6.0,4.0,3.0,2.0,5.0,2.0,9.0,7.0,6.0,8.0,6.0,3.0,8.0,2.0,2.0,7.0,4.0,4.0,3.0,8.0,2.0,9.0,7.0,6.0,9.0,2.0,6.0,6.0,2.0,8.0,7.0,2.0,5.0,3.0,8.0,2.0,8.0,7.0,7.0,8.0,5.0,3.0,3.0,2.0,4.0,2.0,9.0,7.0,6.0,7.0,5.0,3.0,8.0,2.0,2.0,7.0,3.0
15,4.0,8.0,2.0,7.0,9.0,6.0,7.0,9.0,3.0,7.0,6.0,3.0,8.0,5.0,5.0,5.0,3.0,8.0,3.0,6.0,2.0,7.0,8.0,6.0,2.0,7.0,7.0,4.0,2.0,4.0,7.0,8.0,2.0,4.0,3.0,6.0,3.0,7.0,5.0,3.0,4.0,8.0,2.0,7.0,9.0,6.0,7.0,9.0,3.0,7.0,7.0,3.0,8.0,5.0,6.0,5.0,3.0,8.0,3.0,6.0,2.0,7.0,8.0,6.0,2.0,7.0,7.0,4.0,2.0,3.0,7.0,8.0,2.0,3.0,2.0,6.0,2.0,7.0,4.0,3.0
16,2.0,8.0,7.0,6.0,7.0,8.0,3.0,7.0,2.0,7.0,9.0,1.0,9.0,8.0,1.0,3.0,2.0,3.0,1.0,8.0,7.0,7.0,2.0,6.0,2.0,6.0,1.0,7.0,6.0,9.0,7.0,8.0,7.0,5.0,7.0,9.0,6.0,2.0,8.0,2.0,2.0,7.0,7.0,6.0,6.0,7.0,3.0,6.0,3.0,7.0,9.0,2.0,9.0,8.0,2.0,4.0,3.0,3.0,2.0,7.0,7.0,6.0,3.0,6.0,2.0,6.0,2.0,2.0,6.0,3.0,6.0,8.0,6.0,5.0,7.0,8.0,6.0,6.0,6.0,2.0
17,3.0,8.0,2.0,3.0,7.0,6.0,7.0,7.0,5.0,6.0,6.0,2.0,8.0,6.0,5.0,5.0,4.0,9.0,2.0,7.0,3.0,6.0,9.0,6.0,3.0,4.0,7.0,4.0,5.0,7.0,4.0,8.0,3.0,5.0,3.0,8.0,1.0,3.0,7.0,3.0,3.0,7.0,2.0,3.0,7.0,6.0,7.0,7.0,4.0,6.0,6.0,3.0,8.0,6.0,5.0,5.0,3.0,8.0,3.0,7.0,3.0,6.0,8.0,6.0,3.0,4.0,6.0,4.0,4.0,7.0,4.0,7.0,3.0,5.0,3.0,6.0,2.0,3.0,7.0,3.0
18,7.0,4.0,7.0,6.0,8.0,7.0,7.0,8.0,5.0,7.0,3.0,4.0,3.0,6.0,3.0,6.0,4.0,8.0,4.0,7.0,3.0,5.0,8.0,6.0,7.0,7.0,2.0,7.0,6.0,7.0,6.0,6.0,2.0,3.0,3.0,6.0,2.0,3.0,6.0,7.0,7.0,4.0,7.0,6.0,8.0,6.0,7.0,8.0,5.0,7.0,3.0,4.0,3.0,5.0,3.0,6.0,4.0,8.0,4.0,6.0,3.0,5.0,8.0,5.0,7.0,7.0,2.0,7.0,5.0,7.0,6.0,6.0,2.0,3.0,3.0,6.0,2.0,3.0,5.0,7.0
19,4.0,8.0,6.0,3.0,9.0,6.0,5.0,9.0,7.0,5.0,6.0,3.0,8.0,8.0,4.0,5.0,7.0,8.0,3.0,7.0,7.0,4.0,8.0,5.0,3.0,3.0,6.0,4.0,5.0,7.0,4.0,8.0,8.0,7.0,6.0,6.0,2.0,3.0,7.0,4.0,3.0,8.0,6.0,2.0,9.0,6.0,5.0,9.0,7.0,4.0,6.0,2.0,8.0,9.0,3.0,5.0,7.0,9.0,2.0,7.0,7.0,4.0,9.0,5.0,2.0,2.0,6.0,3.0,4.0,7.0,3.0,8.0,8.0,6.0,6.0,8.0,2.0,3.0,7.0,3.0
20,6.0,8.0,7.0,4.0,9.0,6.0,7.0,8.0,4.0,6.0,6.0,5.0,8.0,7.0,6.0,6.0,5.0,8.0,5.0,7.0,7.0,7.0,8.0,6.0,5.0,6.0,7.0,6.0,3.0,7.0,7.0,8.0,9.0,6.0,3.0,6.0,3.0,4.0,6.0,5.0,3.0,8.0,7.0,2.0,9.0,6.0,7.0,8.0,2.0,6.0,6.0,4.0,8.0,7.0,5.0,6.0,4.0,8.0,3.0,7.0,7.0,8.0,8.0,6.0,5.0,6.0,7.0,3.0,2.0,7.0,8.0,8.0,8.0,5.0,2.0,6.0,2.0,3.0,6.0,3.0
21,6.0,7.0,2.0,2.0,7.0,7.0,7.0,7.0,2.0,7.0,6.0,2.0,6.0,7.0,2.0,9.0,2.0,6.0,2.0,7.0,2.0,7.0,6.0,6.0,7.0,8.0,2.0,6.0,2.0,6.0,7.0,6.0,2.0,2.0,2.0,9.0,2.0,2.0,7.0,6.0,5.0,7.0,2.0,3.0,7.0,7.0,7.0,7.0,3.0,7.0,6.0,2.0,6.0,7.0,2.0,9.0,3.0,6.0,2.0,7.0,2.0,7.0,5.0,6.0,7.0,7.0,2.0,5.0,2.0,3.0,7.0,4.0,2.0,3.0,2.0,7.0,3.0,6.0,7.0,4.0
22,2.0,8.0,7.0,2.0,8.0,7.0,7.0,8.0,5.0,7.0,8.0,2.0,8.0,7.0,2.0,6.0,3.0,8.0,2.0,7.0,6.0,6.0,8.0,6.0,2.0,6.0,2.0,7.0,3.0,7.0,6.0,8.0,6.0,5.0,2.0,8.0,2.0,2.0,7.0,3.0,2.0,8.0,7.0,2.0,9.0,7.0,8.0,9.0,5.0,7.0,9.0,2.0,9.0,6.0,2.0,6.0,3.0,9.0,2.0,8.0,6.0,6.0,9.0,5.0,2.0,6.0,2.0,2.0,3.0,8.0,7.0,9.0,6.0,4.0,2.0,8.0,2.0,2.0,8.0,2.0
23,5.0,8.0,7.0,9.0,9.0,6.0,7.0,9.0,2.0,9.0,9.0,5.0,9.0,6.0,8.0,5.0,2.0,8.0,5.0,6.0,7.0,9.0,9.0,6.0,2.0,9.0,9.0,5.0,2.0,6.0,8.0,9.0,9.0,6.0,4.0,6.0,3.0,4.0,5.0,3.0,3.0,8.0,7.0,8.0,9.0,5.0,6.0,9.0,2.0,9.0,9.0,2.0,9.0,6.0,7.0,4.0,2.0,9.0,2.0,5.0,7.0,9.0,9.0,6.0,2.0,9.0,8.0,3.0,2.0,6.0,7.0,9.0,8.0,5.0,3.0,8.0,2.0,7.0,3.0,2.0
24,8.0,3.0,7.0,2.0,9.0,6.0,7.0,9.0,5.0,7.0,5.0,3.0,2.0,6.0,3.0,6.0,4.0,6.0,3.0,8.0,3.0,6.0,5.0,6.0,8.0,8.0,2.0,8.0,5.0,7.0,7.0,4.0,3.0,4.0,3.0,7.0,3.0,3.0,7.0,8.0,8.0,3.0,7.0,2.0,8.0,6.0,7.0,8.0,5.0,7.0,5.0,3.0,2.0,6.0,3.0,6.0,3.0,6.0,3.0,8.0,3.0,6.0,5.0,6.0,8.0,8.0,2.0,8.0,3.0,7.0,6.0,3.0,3.0,3.0,3.0,7.0,3.0,3.0,6.0,7.0
25,2.0,7.0,7.0,4.0,6.0,6.0,3.0,6.0,7.0,8.0,6.0,5.0,8.0,7.0,5.0,3.0,2.0,8.0,5.0,7.0,3.0,8.0,9.0,6.0,6.0,3.0,7.0,2.0,2.0,4.0,7.0,8.0,8.0,5.0,7.0,6.0,2.0,6.0,7.0,2.0,2.0,7.0,7.0,3.0,6.0,6.0,3.0,6.0,7.0,9.0,6.0,4.0,8.0,7.0,5.0,3.0,2.0,8.0,4.0,7.0,3.0,8.0,8.0,6.0,6.0,3.0,7.0,2.0,2.0,3.0,7.0,8.0,7.0,6.0,7.0,5.0,2.0,6.0,7.0,2.0
26,6.0,3.0,8.0,2.0,4.0,6.0,7.0,3.0,9.0,4.0,6.0,5.0,6.0,8.0,3.0,5.0,7.0,3.0,5.0,7.0,3.0,2.0,3.0,6.0,8.0,3.0,6.0,8.0,9.0,7.0,3.0,3.0,8.0,7.0,3.0,6.0,5.0,3.0,7.0,6.0,6.0,3.0,8.0,2.0,4.0,6.0,7.0,3.0,9.0,4.0,6.0,5.0,6.0,8.0,3.0,5.0,7.0,4.0,5.0,7.0,3.0,2.0,3.0,5.0,8.0,3.0,6.0,7.0,8.0,7.0,3.0,4.0,8.0,7.0,3.0,5.0,5.0,3.0,7.0,6.0
27,3.0,8.0,7.0,3.0,6.0,8.0,3.0,6.0,3.0,9.0,7.0,4.0,9.0,8.0,3.0,3.0,3.0,7.0,4.0,8.0,7.0,8.0,7.0,6.0,2.0,3.0,7.0,6.0,3.0,7.0,8.0,9.0,9.0,7.0,7.0,6.0,3.0,3.0,7.0,3.0,6.0,8.0,7.0,2.0,7.0,8.0,3.0,7.0,3.0,9.0,7.0,5.0,9.0,8.0,6.0,4.0,2.0,8.0,5.0,8.0,7.0,7.0,8.0,6.0,2.0,3.0,7.0,6.0,3.0,7.0,7.0,9.0,8.0,7.0,7.0,5.0,2.0,3.0,7.0,3.0
28,8.0,7.0,7.0,6.0,7.0,5.0,6.0,7.0,3.0,7.0,8.0,3.0,2.0,5.0,6.0,4.0,3.0,7.0,3.0,6.0,3.0,7.0,7.0,5.0,8.0,6.0,7.0,9.0,4.0,4.0,7.0,3.0,7.0,5.0,6.0,7.0,3.0,6.0,4.0,8.0,8.0,7.0,6.0,6.0,7.0,5.0,6.0,7.0,3.0,7.0,7.0,3.0,2.0,5.0,4.0,5.0,3.0,7.0,3.0,6.0,3.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,4.0,4.0,7.0,3.0,6.0,4.0,5.0,6.0,3.0,6.0,4.0,7.0
29,6.0,4.0,7.0,1.0,6.0,8.0,6.0,6.0,4.0,6.0,6.0,2.0,6.0,4.0,1.0,5.0,4.0,8.0,2.0,9.0,2.0,6.0,8.0,5.0,7.0,8.0,1.0,6.0,6.0,9.0,6.0,4.0,2.0,3.0,5.0,8.0,2.0,1.0,9.0,5.0,6.0,4.0,7.0,2.0,6.0,8.0,6.0,6.0,4.0,6.0,6.0,2.0,6.0,4.0,2.0,5.0,4.0,8.0,2.0,9.0,2.0,6.0,8.0,5.0,7.0,8.0,2.0,6.0,5.0,9.0,6.0,4.0,2.0,3.0,4.0,8.0,2.0,2.0,9.0,5.0
