Label,Domain,Facet,Item,Item_cleaned,Index
BFI2,E,Sociability,"Is outgoing, sociable.","is outgoing, sociable.",bfi1
BFI2,E,Sociability,Tends to be quiet.,tends to be quiet.,bfi16
BFI2,E,Sociability,"Is sometimes shy, introverted.","is sometimes shy, introverted.",bfi31
BFI2,E,Sociability,Is talkative.,is talkative.,bfi46
BFI2,E,Assertiveness,Has an assertive personality.,has an assertive personality.,bfi6
BFI2,E,Assertiveness,"Is dominant, acts as a leader.","is dominant, acts as a leader.",bfi21
BFI2,E,Assertiveness,Finds it hard to influence people.,finds it hard to influence people.,bfi36
BFI2,E,Assertiveness,Prefers to have others take charge.,prefers to have others take charge.,bfi51
BFI2,E,Energy Level,Rarely feels excited or eager.,rarely feels excited or eager.,bfi11
BFI2,E,Energy Level,Is less active than other people.,is less active than other people.,bfi26
BFI2,E,Energy Level,Is full of energy.,is full of energy.,bfi41
BFI2,E,Energy Level,Shows a lot of enthusiasm.,shows a lot of enthusiasm.,bfi56
BFI2,A,Compassion,"Is compassionate, has a soft heart.","is compassionate, has a soft heart.",bfi2
BFI2,A,Compassion,Feels little sympathy for others.,feels little sympathy for others.,bfi17
BFI2,A,Compassion,Is helpful and unselfish with others.,is helpful and unselfish with others.,bfi32
BFI2,A,Compassion,Can be cold and uncaring.,can be cold and uncaring.,bfi47
BFI2,A,Respectfulness,"Is respectful, treats others with respect.","is respectful, treats others with respect.",bfi7
BFI2,A,Respectfulness,Starts arguments with others.,starts arguments with others.,bfi22
BFI2,A,Respectfulness,Is sometimes rude to others.,is sometimes rude to others.,bfi37
BFI2,A,Respectfulness,"Is polite, courteous to others.","is polite, courteous to others.",bfi52
BFI2,A,Trust,Tends to find fault with others.,tends to find fault with others.,bfi12
BFI2,A,Trust,Has a forgiving nature.,has a forgiving nature.,bfi27
BFI2,A,Trust,Is suspicious of othersâ€™ intentions.,is suspicious of others intentions.,bfi42
BFI2,A,Trust,Assumes the best about people.,assumes the best about people.,bfi57
BFI2,C,Organization,Tends to be disorganized.,tends to be disorganized.,bfi3
BFI2,C,Organization,"Is systematic, likes to keep things in order.","is systematic, likes to keep things in order.",bfi18
BFI2,C,Organization,Keeps things neat and tidy.,keeps things neat and tidy.,bfi33
BFI2,C,Organization,"Leaves a mess, doesn't clean up.","leaves a mess, doesnt clean up.",bfi48
BFI2,C,Productiveness,Tends to be lazy.,tends to be lazy.,bfi8
BFI2,C,Productiveness,Has difficulty getting started on tasks.,has difficulty getting started on tasks.,bfi23
BFI2,C,Productiveness,"Is efficient, gets things done.","is efficient, gets things done.",bfi38
BFI2,C,Productiveness,"Is persistent, works until the task is finished.","is persistent, works until the task is finished.",bfi53
BFI2,C,Responsibility,"Is dependable, steady.","is dependable, steady.",bfi13
BFI2,C,Responsibility,Can be somewhat careless.,can be somewhat careless.,bfi28
BFI2,C,Responsibility,"Is reliable, can always be counted on.","is reliable, can always be counted on.",bfi43
BFI2,C,Responsibility,Sometimes behaves irresponsibly.,sometimes behaves irresponsibly.,bfi58
BFI2,N,Anxiety,"Is relaxed, handles stress well.","is relaxed, handles stress well.",bfi4
BFI2,N,Anxiety,Can be tense.,can be tense.,bfi19
BFI2,N,Anxiety,Worries a lot.,worries a lot.,bfi34
BFI2,N,Anxiety,Rarely feels anxious or afraid.,rarely feels anxious or afraid.,bfi49
BFI2,N,Depression,Stays optimistic after experiencing a setback.,stays optimistic after experiencing a setback.,bfi9
BFI2,N,Depression,"Feels secure, comfortable with self.","feels secure, comfortable with self.",bfi24
BFI2,N,Depression,Often feels sad.,often feels sad.,bfi39
BFI2,N,Depression,"Tends to feel depressed, blue.","tends to feel depressed, blue.",bfi54
BFI2,N,Emotional Volatility,"Is moody, has up and down mood swings.","is moody, has up and down mood swings.",bfi14
BFI2,N,Emotional Volatility,"Is emotionally stable, not easily upset.","is emotionally stable, not easily upset.",bfi29
BFI2,N,Emotional Volatility,Keeps their emotions under control.,keeps their emotions under control.,bfi44
BFI2,N,Emotional Volatility,"Is temperamental, gets emotional easily.","is temperamental, gets emotional easily.",bfi59
BFI2,O,Intellectual Curiosity,Is curious about many different things.,is curious about many different things.,bfi10
BFI2,O,Intellectual Curiosity,"Avoids intellectual, philosophical discussions.","avoids intellectual, philosophical discussions.",bfi25
BFI2,O,Intellectual Curiosity,"Is complex, a deep thinker.","is complex, a deep thinker.",bfi40
BFI2,O,Intellectual Curiosity,Has little interest in abstract ideas.,has little interest in abstract ideas.,bfi55
BFI2,O,Aesthetic Sensitivity,Has few artistic interests.,has few artistic interests.,bfi5
BFI2,O,Aesthetic Sensitivity,"Is fascinated by art, music, or literature.","is fascinated by art, music, or literature.",bfi20
BFI2,O,Aesthetic Sensitivity,Values art and beauty.,values art and beauty.,bfi35
BFI2,O,Aesthetic Sensitivity,Thinks poetry and plays are boring.,thinks poetry and plays are boring.,bfi50
BFI2,O,Creative Imagination,"Is inventive, finds clever ways to do things.","is inventive, finds clever ways to do things.",bfi15
BFI2,O,Creative Imagination,Has little creativity.,has little creativity.,bfi30
BFI2,O,Creative Imagination,"Is original, comes up with new ideas.","is original, comes up with new ideas.",bfi60
BFI2,O,Creative Imagination,Has difficulty imagining things.,has difficulty imagining things.,bfi45
